"Feature Name","Description","Who Use That Feature and How"
"Authentication & Profile","Secure login system with role-based access and personal profile management for photos and emergency contacts.","Everyone: To securely access the system and keep their profile info updated."
"Society Dashboard","A role-specific central hub providing an overview of society stats like active complaints and notices.","Everyone: Admins see management summaries while Members see quick links."
"Unit & Wing Management","Tools to configure the physical structure of the society including Wings and Floors.","Admin: Defines the society layout and assigns unique unit codes."
"Member Management","A digital directory of all residents including owners and tenants.","Admin: Adds and removes members; Members: View directory to contact neighbors."
"Maintenance & Bills","Complete system for generating and tracking maintenance or utility bills.","Admin: Generates periodic bills; Member: Views pending bills and history."
"Online Payments","Razorpay and UPI integration for seamless in-app financial transactions.","Member: Pays maintenance dues or donations via mobile banking."
"Complaint System","A ticketing module for facility issues with photo attachments and status tracking.","Member: Raises maintenance requests; Admin: Assigns and resolves tickets."
"Notice Board","Digital circulars for announcements and emergency alerts.","Admin: Publishes digital notices; Member: Receives alerts and reads updates."
"Visitor Management","Real-time logging of visitors entering and exiting the society premises.","Watchman: Logs visitor details; Member: Receives alerts to approve entry."
"QR Gate Pass","A secure guest entry system using QR-based digital passes.","Member: Generates QR codes for guests; Watchman: Scans the code at the gate."
"Delivery Management","Tracking system for parcels and delivery personnel at the society entrance.","Watchman: Records packet arrivals; Member: Notified when delivery reaches gate."
"Domestic Help Management","A database to manage and track daily workers like maids and drivers.","Member: Registers their helpers; Watchman: Logs helpers entry or exit."
"Amenity Booking","Slot-based booking for facilities like the gym or clubhouse.","Member: Checks availability and books slots; Admin: Sets rules."
"Vehicle Management","A repository of resident vehicles linked to their respective units.","Member: Registers vehicles; Watchman: Identifies authorized vehicles."
"Donation Campaigns","Dedicated module for fundraising for festivals or social causes.","Admin: Creates targets; Member: Contributes funds and monitors progress."
"Expense Management","Internal ledger for tracking society operational costs and vendor payments.","Admin: Logs outgoing funds to maintain financial transparency."
"Super Admin Dashboard","Global platform control for the service provider to manage multiple societies.","Super Admin: Onboards new societies and monitors platform health."
"Subscription Plans","Management of premium features and society tiers like Basic or Pro.","Super Admin: Assigns plans; Admin: Checks active features."
"Staff Management","Controls for society-level staff like gardeners and security agencies.","Admin: Tracks contact details and roles for non-resident staff."
"Reports & Exports","Data export tools for financial and operational records.","Admin: Generates reports for monthly meetings or auditing."
"Notification Center","Centralized alert system for all critical app activities.","Everyone: Receives push alerts for tasks requiring their attention."
